[PiCamera @ factory.py:85][DEBUG] 2017-11-10 15:59:42,850: Logging to: logs/2017_Nov_10/PiCamera/15_59_42.log
[PiCamera @ picamera.py:50][DEBUG] 2017-11-10 15:59:42,878: PiCamera setup
[PiCamera @ picamera.py:61][INFO] 2017-11-10 15:59:43,143: PiCamera initialized: <picamera.camera.PiCamera object at 0x6df80718>
[PiCamera @ picamera.py:136][INFO] 2017-11-10 15:59:43,144: Warming up camera
[PiCamera @ node.py:79][DEBUG] 2017-11-10 15:59:57,120: [log buffer start]
[DEBUG, 1510347592.4688654]: PiCamera image received: ImageMessage(t=1510347592.4688478, n=120)
[DEBUG, 1510347592.5133092]: PiCamera image received: ImageMessage(t=1510347592.5132926, n=121)
[DEBUG, 1510347592.6285057]: PiCamera image received: ImageMessage(t=1510347592.6284876, n=122)
[DEBUG, 1510347592.710613]: PiCamera image received: ImageMessage(t=1510347592.710597, n=123)
[DEBUG, 1510347592.811828]: PiCamera image received: ImageMessage(t=1510347592.8118107, n=124)
[DEBUG, 1510347592.881919]: PiCamera image received: ImageMessage(t=1510347592.8819025, n=125)
[DEBUG, 1510347592.919236]: PiCamera image received: ImageMessage(t=1510347592.9192188, n=126)
[DEBUG, 1510347592.9529586]: PiCamera image received: ImageMessage(t=1510347592.9529433, n=127)
[DEBUG, 1510347593.062373]: PiCamera image received: ImageMessage(t=1510347593.0623364, n=128)
[DEBUG, 1510347593.1356533]: PiCamera image received: ImageMessage(t=1510347593.1356359, n=129)
[DEBUG, 1510347593.179732]: PiCamera image received: ImageMessage(t=1510347593.179717, n=130)
[DEBUG, 1510347593.2772713]: PiCamera image received: ImageMessage(t=1510347593.277254, n=131)
[DEBUG, 1510347593.3433113]: PiCamera image received: ImageMessage(t=1510347593.3432963, n=132)
[DEBUG, 1510347593.3764682]: PiCamera image received: ImageMessage(t=1510347593.3764534, n=133)
[DEBUG, 1510347593.4986815]: PiCamera image received: ImageMessage(t=1510347593.498664, n=134)
[DEBUG, 1510347593.5334709]: PiCamera image received: ImageMessage(t=1510347593.5334542, n=135)
[DEBUG, 1510347593.6639988]: PiCamera image received: ImageMessage(t=1510347593.6639805, n=136)
[DEBUG, 1510347593.723001]: PiCamera image received: ImageMessage(t=1510347593.722985, n=137)
[DEBUG, 1510347593.8240445]: PiCamera image received: ImageMessage(t=1510347593.8240309, n=138)
[DEBUG, 1510347593.9011807]: PiCamera image received: ImageMessage(t=1510347593.9011633, n=139)
[DEBUG, 1510347593.9663613]: PiCamera image received: ImageMessage(t=1510347593.966344, n=140)
[DEBUG, 1510347593.9994998]: PiCamera image received: ImageMessage(t=1510347593.9994845, n=141)
[DEBUG, 1510347594.06723]: PiCamera image received: ImageMessage(t=1510347594.0672119, n=142)
[DEBUG, 1510347594.136464]: PiCamera image received: ImageMessage(t=1510347594.136446, n=143)
[DEBUG, 1510347594.202277]: PiCamera image received: ImageMessage(t=1510347594.2022588, n=144)
[DEBUG, 1510347594.3092856]: PiCamera image received: ImageMessage(t=1510347594.3092701, n=146)
[DEBUG, 1510347594.3442366]: PiCamera image received: ImageMessage(t=1510347594.3442209, n=147)
[DEBUG, 1510347594.4409454]: PiCamera image received: ImageMessage(t=1510347594.44093, n=148)
[DEBUG, 1510347594.5697608]: PiCamera image received: ImageMessage(t=1510347594.5697439, n=149)
[DEBUG, 1510347594.6682606]: PiCamera image received: ImageMessage(t=1510347594.6682432, n=150)
[DEBUG, 1510347594.8016906]: PiCamera image received: ImageMessage(t=1510347594.8016737, n=151)
[DEBUG, 1510347594.9035592]: PiCamera image received: ImageMessage(t=1510347594.9035432, n=152)
