[PiCamera @ factory.py:85][DEBUG] 2017-11-10 19:52:25,666: Logging to: logs/2017_Nov_10/PiCamera/19_52_25.log
[PiCamera @ picamera.py:50][DEBUG] 2017-11-10 19:52:25,696: PiCamera setup
[PiCamera @ picamera.py:61][INFO] 2017-11-10 19:52:25,961: PiCamera initialized: <picamera.camera.PiCamera object at 0x6deb1718>
[PiCamera @ picamera.py:136][INFO] 2017-11-10 19:52:25,962: Warming up camera
[PiCamera @ node.py:79][DEBUG] 2017-11-10 19:52:39,418: [log buffer start]
[DEBUG, 1510361555.6004658]: PiCamera image received: ImageMessage(t=1510361555.6004496, n=123)
[DEBUG, 1510361555.6685252]: PiCamera image received: ImageMessage(t=1510361555.6685092, n=124)
[DEBUG, 1510361555.736823]: PiCamera image received: ImageMessage(t=1510361555.7368078, n=125)
[DEBUG, 1510361555.7696087]: PiCamera image received: ImageMessage(t=1510361555.7695932, n=126)
[DEBUG, 1510361555.8715684]: PiCamera image received: ImageMessage(t=1510361555.8715532, n=127)
[DEBUG, 1510361555.942056]: PiCamera image received: ImageMessage(t=1510361555.9420397, n=128)
[DEBUG, 1510361555.9746757]: PiCamera image received: ImageMessage(t=1510361555.9746614, n=129)
[DEBUG, 1510361556.0081704]: PiCamera image received: ImageMessage(t=1510361556.008155, n=130)
[DEBUG, 1510361556.1060078]: PiCamera image received: ImageMessage(t=1510361556.105992, n=131)
[DEBUG, 1510361556.2077968]: PiCamera image received: ImageMessage(t=1510361556.207781, n=132)
[DEBUG, 1510361556.3090754]: PiCamera image received: ImageMessage(t=1510361556.3090599, n=133)
[DEBUG, 1510361556.4099133]: PiCamera image received: ImageMessage(t=1510361556.4098973, n=134)
[DEBUG, 1510361556.4750195]: PiCamera image received: ImageMessage(t=1510361556.4750042, n=135)
[DEBUG, 1510361556.5080585]: PiCamera image received: ImageMessage(t=1510361556.5080435, n=136)
[DEBUG, 1510361556.607858]: PiCamera image received: ImageMessage(t=1510361556.607842, n=137)
[DEBUG, 1510361556.6408455]: PiCamera image received: ImageMessage(t=1510361556.6408284, n=138)
[DEBUG, 1510361556.6798742]: PiCamera image received: ImageMessage(t=1510361556.6798587, n=139)
[DEBUG, 1510361556.8003612]: PiCamera image received: ImageMessage(t=1510361556.800346, n=140)
[DEBUG, 1510361556.8777685]: PiCamera image received: ImageMessage(t=1510361556.877753, n=141)
[DEBUG, 1510361556.910943]: PiCamera image received: ImageMessage(t=1510361556.9109275, n=142)
[DEBUG, 1510361556.9764109]: PiCamera image received: ImageMessage(t=1510361556.9763951, n=143)
[DEBUG, 1510361557.0103786]: PiCamera image received: ImageMessage(t=1510361557.0103636, n=144)
[DEBUG, 1510361557.0474787]: PiCamera image received: ImageMessage(t=1510361557.0474627, n=145)
[DEBUG, 1510361557.0814602]: PiCamera image received: ImageMessage(t=1510361557.0814428, n=146)
[DEBUG, 1510361557.1208704]: PiCamera image received: ImageMessage(t=1510361557.1208544, n=147)
[DEBUG, 1510361557.254966]: PiCamera image received: ImageMessage(t=1510361557.2549489, n=148)
[DEBUG, 1510361557.2941797]: PiCamera image received: ImageMessage(t=1510361557.2941632, n=149)
[DEBUG, 1510361557.3602378]: PiCamera image received: ImageMessage(t=1510361557.3602219, n=150)
[DEBUG, 1510361557.427291]: PiCamera image received: ImageMessage(t=1510361557.427275, n=151)
[DEBUG, 1510361557.5300314]: PiCamera image received: ImageMessage(t=1510361557.530016, n=153)
[DEBUG, 1510361557.5633008]: PiCamera image received: ImageMessage(t=1510361557.5632854, n=154)
[DEBUG, 1510361557.5984514]: PiCamera image received: ImageMessage(t=1510361557.5984366, n=155)
[DEBUG, 1510361557.6964507]: PiCamera image received: ImageMessage(t=1510361557.6964343, n=156)
[DEBUG, 1510361557.7949586]: PiCamera image received: ImageMessage(t=1510361557.7949433, n=157)
