[PiCamera @ factory.py:85][DEBUG] 2017-10-27 15:48:30,950: Logging to: logs/2017_Oct_27/PiCamera/15_48_30.log
[PiCamera @ picamera.py:49][DEBUG] 2017-10-27 15:48:30,992: PiCamera setup
[PiCamera @ picamera.py:60][INFO] 2017-10-27 15:48:31,258: PiCamera initialized: <picamera.camera.PiCamera object at 0x6ff00ac0>
[PiCamera @ picamera.py:137][INFO] 2017-10-27 15:48:31,259: Warming up camera
[PiCamera @ picamera.py:91][INFO] 2017-10-27 15:48:33,291: Recording video on 'videos/2017_Oct_27/NaborisOrchestrator/15_48_30.mp4.h264'
[PiCamera @ node.py:64][DEBUG] 2017-10-27 15:48:43,236: [log buffer start]
[DEBUG, 1509133722.011521]: PiCamera image received: ImageMessage(t=1509133722.0115058, n=148)
[DEBUG, 1509133722.044843]: PiCamera image received: ImageMessage(t=1509133722.0448284, n=149)
[DEBUG, 1509133722.0782816]: PiCamera image received: ImageMessage(t=1509133722.0782676, n=150)
[DEBUG, 1509133722.1523504]: PiCamera image received: ImageMessage(t=1509133722.1523356, n=151)
[DEBUG, 1509133722.217441]: PiCamera image received: ImageMessage(t=1509133722.217426, n=152)
[DEBUG, 1509133722.2497509]: PiCamera image received: ImageMessage(t=1509133722.2497358, n=153)
[DEBUG, 1509133722.2827036]: PiCamera image received: ImageMessage(t=1509133722.282689, n=154)
[DEBUG, 1509133722.315663]: PiCamera image received: ImageMessage(t=1509133722.3156478, n=155)
[DEBUG, 1509133722.384162]: PiCamera image received: ImageMessage(t=1509133722.3841486, n=156)
[DEBUG, 1509133722.4260726]: PiCamera image received: ImageMessage(t=1509133722.426054, n=157)
[DEBUG, 1509133722.4926722]: PiCamera image received: ImageMessage(t=1509133722.4926574, n=158)
[DEBUG, 1509133722.571512]: PiCamera image received: ImageMessage(t=1509133722.571497, n=159)
[DEBUG, 1509133722.6045995]: PiCamera image received: ImageMessage(t=1509133722.604585, n=160)
[DEBUG, 1509133722.6413724]: PiCamera image received: ImageMessage(t=1509133722.6413577, n=161)
[DEBUG, 1509133722.7140183]: PiCamera image received: ImageMessage(t=1509133722.714003, n=162)
[DEBUG, 1509133722.7842598]: PiCamera image received: ImageMessage(t=1509133722.7842383, n=163)
[DEBUG, 1509133722.818752]: PiCamera image received: ImageMessage(t=1509133722.8187382, n=164)
[DEBUG, 1509133722.8853247]: PiCamera image received: ImageMessage(t=1509133722.8852503, n=165)
[DEBUG, 1509133722.9184794]: PiCamera image received: ImageMessage(t=1509133722.9183967, n=166)
[DEBUG, 1509133722.9507513]: PiCamera image received: ImageMessage(t=1509133722.950737, n=167)
[DEBUG, 1509133722.9857893]: PiCamera image received: ImageMessage(t=1509133722.985773, n=168)
[DEBUG, 1509133723.0234425]: PiCamera image received: ImageMessage(t=1509133723.0234277, n=169)
[DEBUG, 1509133723.0654762]: PiCamera image received: ImageMessage(t=1509133723.0654614, n=170)
[DEBUG, 1509133723.1356943]: PiCamera image received: ImageMessage(t=1509133723.1356788, n=171)
[DEBUG, 1509133723.1690857]: PiCamera image received: ImageMessage(t=1509133723.169072, n=172)
[DEBUG, 1509133723.2359908]: PiCamera image received: ImageMessage(t=1509133723.235959, n=173)
[log buffer end]
[PiCamera @ node.py:66][DEBUG] 2017-10-27 15:48:43,238: logging message buffer (len=16452)
[PiCamera @ node.py:64][DEBUG] 2017-10-27 15:48:51,816: [log buffer start]
[DEBUG, 1509133723.3164732]: PiCamera image received: ImageMessage(t=1509133723.3164587, n=174)
[DEBUG, 1509133723.3489618]: PiCamera image received: ImageMessage(t=1509133723.3489475, n=175)
[DEBUG, 1509133723.3811831]: PiCamera image received: ImageMessage(t=1509133723.3811688, n=176)
[DEBUG, 1509133723.4132571]: PiCamera image received: ImageMessage(t=1509133723.413243, n=177)
[DEBUG, 1509133723.4483225]: PiCamera image received: ImageMessage(t=1509133723.4483082, n=178)
[DEBUG, 1509133723.5155704]: PiCamera image received: ImageMessage(t=1509133723.5155554, n=179)
[DEBUG, 1509133723.5836403]: PiCamera image received: ImageMessage(t=1509133723.5836253, n=180)
